"longitude","latitude","sst_celsius"
4.7,42.1,16.1
4.7,42.1,15.9
4.7,42.1,15.9
4.7,42.1,15.9
4.7,42.1,15.8
4.7,42.1,15.9
4.7,42.1,15.8
4.7,42.1,15.5
4.7,42.1,15.4
4.7,42.1,15.6
4.7,42.1,15.9
4.7,42.1,15.8
4.7,42.1,15.5
4.7,42.1,15.6
4.7,42.1,15.5
4.7,42.1,15.4
4.7,42.1,15.8
4.7,42.1,15.8
4.7,42.1,15.6
4.7,42.1,15.4
4.7,42.1,15.4
4.7,42.1,15.5
4.7,42.1,15.6
4.7,42.1,15.6
4.7,42.1,15.6
4.7,42.1,15.4
4.7,42.1,15.4
4.7,42.1,15.7
4.7,42.1,15.9
4.7,42.1,15.8
4.7,42.1,15.8
4.7,42.1,15.4
4.7,42.1,15.4
4.7,42.1,15.3
4.7,42.1,15.8
4.7,42.1,16
4.7,42.1,15.8
4.7,42.1,15.4
4.7,42.1,15.7
4.7,42.1,16
4.7,42.1,15.7
4.7,42.1,15.5
4.7,42.1,15.5
4.7,42.1,15.8
4.7,42.1,15.5
4.7,42.1,15.3
4.7,42.1,14.7
4.7,42.1,14.6
4.7,42.1,14.8
4.7,42.1,14.7
4.7,42.1,14.6
4.7,42.1,14.3
4.7,42.1,14.6
4.7,42.1,14.4
4.7,42.1,14.5
4.7,42.1,14.6
4.7,42.1,14.5
4.7,42.1,14.5
4.7,42.1,14.5
4.7,42.1,14.6
4.7,42.1,14.8
4.7,42.1,14.6
4.7,42.1,14.9
4.7,42.1,15
4.7,42.1,14.9
4.7,42.1,14.8
4.7,42.1,14.6
4.7,42.1,14.9
4.7,42.1,14.8
4.7,42.1,14.8
4.7,42.1,14.9
4.7,42.1,14.8
4.7,42.1,14.9
4.7,42.1,15
4.7,42.1,14.6
4.7,42.1,14.9
4.7,42.1,14.9
4.7,42.1,15.1
4.7,42.1,15
4.7,42.1,15.1
4.7,42.1,15.2
4.7,42.1,15.1
4.7,42.1,14.9
4.7,42.1,15.1
4.7,42.1,14.9
4.7,42.1,15.1
4.7,42.1,15.1
4.7,42.1,15.2
4.7,42.1,15.1
4.7,42.1,15.1
4.7,42.1,15.2
4.7,42.1,15.3
4.7,42.1,15.2
4.7,42.1,15.3
4.7,42.1,15.3
4.7,42.1,15.2
4.7,42.1,15.2
4.7,42.1,15.1
4.7,42.1,14.8
4.7,42.1,14.6
4.7,42.1,14.6
4.7,42.1,14.5
4.7,42.1,14.4
4.7,42.1,14.4
4.7,42.1,14.3
4.7,42.1,14.1
4.7,42.1,14.2
4.7,42.1,14.1
4.7,42.1,14
4.7,42.1,14.2
4.7,42.1,14.1
4.7,42.1,14
4.7,42.1,13.8
4.7,42.1,13.9
4.7,42.1,13.9
4.7,42.1,13.9
4.7,42.1,14.4
4.7,42.1,14.4
4.7,42.1,14.4
4.7,42.1,14.3
4.7,42.1,14.5
4.7,42.1,14.3
4.7,42.1,14.3
4.7,42.1,14.5
4.7,42.1,14.3
4.7,42.1,14.5
4.7,42.1,14.5
4.7,42.1,14.4
4.7,42.1,14.5
4.7,42.1,14.4
4.7,42.1,14.5
4.7,42.1,14.6
4.7,42.1,14.4
4.7,42.1,14.4
4.7,42.1,14.3
4.7,42.1,14.3
4.7,42.1,14.3
4.7,42.1,14.4
4.7,42.1,14.3
4.7,42.1,14.3
4.7,42.1,14.5
4.7,42.1,14.5
4.7,42.1,14.4
4.7,42.1,14.5
4.7,42.1,14.3
4.7,42.1,14.3
4.7,42.1,14.4
4.7,42.1,14.4
4.7,42.1,14.4
4.7,42.1,14.5
4.7,42.1,14.3
4.7,42.1,14.3
4.7,42.1,14.2
4.7,42.1,13.9
4.7,42.1,13.8
4.7,42.1,13.6
4.7,42.1,13.8
4.7,42.1,13.6
4.7,42.1,13.6
