"longitude","latitude","sst_celsius"
33.2,34.7,20.8
33.2,34.7,20.7
33.2,34.7,20.7
33.2,34.7,20.6
33.2,34.7,20.6
33.2,34.7,20.6
33.2,34.7,20.7
33.2,34.7,20.7
33.2,34.7,20.7
33.2,34.7,20.6
33.3,34.7,20.4
33.3,34.7,20.4
33.3,34.7,20.4
33.3,34.7,20.4
33.3,34.7,20.3
33.4,34.7,20.2
33.4,34.7,20.1
33.4,34.7,20.4
33.4,34.7,20.2
33.4,34.7,20.3
33.4,34.7,20.3
33.6,34.7,20.3
33.5,34.7,20.2
33.5,34.7,20.2
33.5,34.7,20.3
33.6,34.7,20.3
33.6,34.7,20.4
33.6,34.7,20.3
33.6,34.7,20.3
33.6,34.7,20.2
33.6,34.7,20.1
33.6,34.7,20.3
33.6,34.7,20.2
33.7,34.7,20.2
33.7,34.7,20.1
33.7,34.7,20.1
33.7,34.7,20.1
33.7,34.7,20.1
33.7,34.7,20.1
33.7,34.7,20.2
33.7,34.7,20
33.7,34.7,20.1
33.7,34.7,20.2
33.8,34.7,20
33.8,34.7,20.1
33.8,34.7,20.1
33.8,34.7,20.1
33.8,34.6,20.1
33.8,34.6,20.1
33.8,34.6,20
33.8,34.6,20
33.7,34.6,20
33.7,34.6,20
33.7,34.6,20
33.7,34.6,20
33.7,34.6,20
33.7,34.5,20
33.7,34.5,19.9
33.7,34.5,19.9
33.6,34.5,19.9
33.6,34.5,20
33.6,34.5,20
33.6,34.5,20
33.6,34.5,20
33.6,34.4,19.9
33.6,34.4,19.9
33.6,34.4,19.9
33.5,34.4,19.9
33.6,34.4,19.9
33.5,34.4,19.9
33.5,34.4,19.8
33.5,34.4,19.8
33.5,34.4,19.8
33.5,34.4,19.8
33.5,34.4,19.8
33.4,34.3,19.7
33.4,34.3,19.7
33.5,34.4,19.8
33.4,34.3,19.8
33.4,34.3,19.8
33.4,34.3,19.8
33.4,34.3,19.8
33.4,34.3,19.8
33.4,34.3,20
33.4,34.3,20.3
33.4,34.3,20.3
33.4,34.3,20.4
33.4,34.3,20.6
33.4,34.3,20.5
33.3,34.3,20.4
33.3,34.3,20.4
33.3,34.3,20.3
33.3,34.3,20.4
33.3,34.3,20.4
33.3,34.3,20.5
33.3,34.3,20.4
33.3,34.3,20.4
33.3,34.3,20.3
33.3,34.3,20.2
33.3,34.3,19.8
33.3,34.3,20
33.2,34.3,20
33.2,34.3,20.1
33.2,34.3,20
33.2,34.3,20
33.2,34.3,19.9
33.2,34.3,20
33.2,34.3,20.4
33.2,34.3,20.2
33.2,34.3,20
33.2,34.3,20
33.1,34.3,20
33.1,34.3,19.7
33.1,34.3,19.6
33.1,34.3,19.5
33.1,34.3,19.6
33.1,34.3,19.6
33.1,34.3,19.7
33.1,34.3,19.7
33.1,34.3,19.9
33.1,34.3,20
33.1,34.3,20
33.1,34.3,20.2
33.1,34.3,20
33.1,34.3,19.8
33.1,34.3,19.8
33.1,34.3,20
33.1,34.3,20
33.1,34.3,20
33.1,34.2,20
33.1,34.2,20.2
33.2,34.2,20.3
33.2,34.2,20.3
33.2,34.2,20.2
33.2,34.2,20.2
33.2,34.2,20.2
33.2,34.2,20.1
33.3,34.2,20.3
33.3,34.2,20.1
33.3,34.2,20.2
33.3,34.2,20.2
33.4,34.3,20
33.4,34.3,20
33.4,34.3,20
33.4,34.3,19.8
33.4,34.3,19.8
33.4,34.3,20
33.4,34.3,20
33.4,34.3,20
33.4,34.3,20
33.4,34.3,20
33.5,34.3,20
33.5,34.3,20
33.5,34.3,20
33.5,34.3,19.9
33.5,34.3,19.8
33.5,34.4,19.7
33.5,34.4,19.6
33.5,34.4,19.5
33.5,34.4,19.4
33.5,34.4,19.5
33.5,34.4,19.4
33.6,34.5,19.5
33.5,34.4,19.5
33.5,34.4,19.6
33.6,34.5,19.5
33.6,34.5,19.5
33.7,34.5,19.5
33.7,34.5,19.5
33.7,34.5,19.3
33.7,34.5,19.3
33.7,34.5,19.2
33.7,34.5,19.2
33.8,34.5,19.2
33.8,34.5,19.2
33.8,34.5,19.2
33.8,34.6,19.2
33.8,34.6,19
34,34.5,19
34,34.5,19
34,34.5,19
34,34.5,19
34,34.5,19.2
34,34.5,19.2
34,34.5,19.2
34,34.5,19.1
34.1,34.5,19.1
34.2,34.5,18.7
34.2,34.5,18.8
34.2,34.5,18.8
34.3,34.6,18.8
34.3,34.6,18.8
34.3,34.5,18.8
34.3,34.5,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.3,34.5,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.9
34.4,34.6,19
34.4,34.6,19.1
34.4,34.6,19.2
34.4,34.6,19.2
34.4,34.6,19.2
34.4,34.6,19.2
34.4,34.6,19.2
34.5,34.6,19.2
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.3
34.5,34.6,19.4
34.6,34.6,19.4
34.6,34.6,19.4
34.6,34.6,19.4
34.6,34.6,19.4
34.6,34.6,19.4
34.6,34.6,19.4
34.6,34.6,19.3
34.6,34.6,19.3
34.6,34.6,19.3
34.6,34.6,19.3
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.1
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.6,34.6,19.2
34.5,34.6,19.1
34.5,34.6,19.1
34.5,34.6,19
34.5,34.6,19.1
34.5,34.7,19
34.5,34.6,19
34.5,34.6,18.9
34.5,34.6,18.9
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.8
34.4,34.6,18.6
34.4,34.6,18.4
34.4,34.6,18.4
34.4,34.6,18.4
34.4,34.6,18.4
34.4,34.6,18.4
34.4,34.6,18.3
34.3,34.7,18.3
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.3
34.3,34.7,18.3
34.3,34.7,18.3
34.3,34.7,18.3
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.3
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.2
34.3,34.7,18.1
34.3,34.7,18
34.3,34.7,17.6
34.3,34.7,17.6
34.3,34.7,17.6
34.3,34.8,17.6
34.3,34.8,17.7
34.3,34.8,17.7
34.3,34.8,17.6
34.3,34.8,17.6
34.3,34.8,17.3
34.3,34.8,17.6
34.3,34.8,17.6
34.3,34.8,17.6
34.3,34.8,17.7
34.3,34.9,17.9
34.3,34.9,17.9
34.2,34.9,17.9
34.2,34.9,18.1
34.2,34.9,18.2
34.2,34.9,18.1
34.2,34.9,18
34.2,34.9,17.8
34.2,34.9,17.7
34.2,34.9,17.7
34.2,34.8,17.8
34.2,34.8,17.8
34.2,34.8,17.8
34.2,34.8,17.7
34.1,34.8,17.7
34.1,34.8,17.6
34.1,34.8,17.6
34.1,34.8,17.6
34.1,34.8,17.6
34.1,34.7,17.6
34.1,34.7,17.7
34.1,34.7,17.7
34.1,34.7,17.7
34.1,34.7,17.6
34.1,34.7,17.6
34,34.7,17.6
34,34.7,17.6
34,34.7,17.6
34,34.7,17.6
34.1,34.8,17.6
34.1,34.8,17.6
34,34.7,17.6
34.1,34.8,17.6
34.1,34.8,17.6
34.1,34.8,17.7
34.2,34.7,17.7
34.3,34.6,17.7
34.2,34.6,17.7
34.2,34.6,17.7
34.2,34.6,17.7
34.2,34.6,17.7
34.2,34.6,17.7
34.3,34.6,17.6
34.3,34.6,17.6
34.3,34.6,17.6
34.3,34.6,17.6
34.3,34.6,17.6
34.4,34.6,17.6
34.4,34.6,17.6
34.4,34.6,17.6
34.4,34.6,17.6
34.4,34.6,17.6
34.5,34.6,17.6
34.4,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.6
34.5,34.6,17.8
34.6,34.7,18
34.5,34.6,18
34.6,34.7,18.1
34.5,34.6,18.2
34.5,34.6,18.2
34.6,34.7,18.3
34.6,34.7,18.4
34.6,34.7,18.4
34.6,34.7,18.4
34.6,34.7,18.4
34.7,34.7,18.1
34.6,34.7,18.4
34.6,34.7,18.4
34.6,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.3
34.7,34.7,18.4
34.7,34.7,18.3
34.7,34.7,18.3
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.4
34.7,34.7,18.5
34.7,34.7,18.4
34.7,34.7,18.5
34.7,34.7,18.6
34.7,34.7,18.6
34.8,34.7,18.6
34.8,34.7,18.6
34.8,34.7,18.5
34.8,34.6,18.5
34.8,34.6,18.5
34.8,34.6,18.5
34.7,34.6,18.4
34.8,34.6,18.4
34.7,34.6,18.4
34.7,34.6,18.4
34.7,34.6,18.4
34.7,34.6,18.4
34.7,34.6,18.6
34.7,34.6,18.6
34.7,34.6,18.6
34.7,34.6,18.7
34.7,34.6,18.8
34.7,34.6,18.9
34.7,34.6,18.9
34.6,34.6,18.9
34.6,34.6,18.9
34.6,34.6,18.9
34.6,34.6,18.9
34.6,34.6,18.9
34.6,34.7,18.9
34.6,34.7,18.9
34.6,34.7,18.9
34.6,34.7,18.8
34.6,34.7,18.9
34.6,34.7,18.8
34.6,34.7,18.8
34.6,34.7,18.8
34.6,34.7,18.8
34.6,34.7,18.8
34.6,34.7,18.8
34.6,34.7,18.8
34.6,34.7,18.7
34.6,34.7,18.7
34.6,34.7,18.7
34.6,34.7,18.7
34.6,34.7,18.6
32.2,33.9,21.3
32.1,33.9,21.3
32.1,33.9,21.2
32.1,33.9,21.2
32.1,33.9,21.3
32.1,33.9,21.3
